Symbol,Close,Trend,Structure,Category
LT,4208.3,1,54,LONG_TERM_LEADER
HINDALCO,1007.4,1,53,LONG_TERM_LEADER
APOLLOHOSP,8443.5,1,51,LONG_TERM_LEADER
POLYCAB,9967.5,1,47,LONG_TERM_LEADER
COALINDIA,450.65,1,46,LONG_TERM_LEADER
CGPOWER,961.0,1,45,LONG_TERM_LEADER
TVSMOTOR,3435.6,1,44,LONG_TERM_LEADER
SIEMENS,3761.6,1,42,LONG_TERM_LEADER
TECHM,1378.8,1,42,LONG_TERM_LEADER
BEL,428.4,1,40,LONG_TERM_LEADER
SBIN,1032.4,1,40,LONG_TERM_LEADER
TRENT,3157.3,1,40,LONG_TERM_LEADER
HCLTECH,1118.6,1,39,LONG_TERM_LEADER
INDUSINDBK,942.5,1,38,LONG_TERM_LEADER
KOTAKBANK,400.0,1,37,LONG_TERM_LEADER
TATASTEEL,197.31,1,37,LONG_TERM_LEADER
JSWSTEEL,1288.7,1,36,LONG_TERM_LEADER
TORNTPHARM,4439.9,1,36,LONG_TERM_LEADER
BHARTIARTL,1887.1,1,35,LONG_TERM_LEADER
TITAN,4409.0,1,35,LONG_TERM_LEADER
AXISBANK,1350.6,1,34,LONG_TERM_LEADER
ONGC,244.2,1,34,LONG_TERM_LEADER
ADANIPORTS,1844.6,1,33,LONG_TERM_LEADER
ABCAPITAL,374.85,1,32,LONG_TERM_LEADER
DIVISLAB,6760.0,1,32,LONG_TERM_LEADER
INDHOTEL,723.3,1,31,LONG_TERM_LEADER
VEDL,300.5,1,31,LONG_TERM_LEADER
CHOLAFIN,1695.1,1,30,LONG_TERM_LEADER
GRASIM,3152.4,1,30,LONG_TERM_LEADER
