Symbol,Category,Score,Close,EMA50,RSI,Trend,Structure
ABCAPITAL,LONG_TERM_LEADER,95,374.85,352.14,63.16,1,32
ADANIPORTS,LONG_TERM_LEADER,95,1844.6,1722.07,63.81,1,33
ASIANPAINT,LONG_TERM_LEADER,95,2732.8,2600.65,67.54,1,21
BOSCHLTD,LONG_TERM_LEADER,95,40100.0,36995.78,75.2,1,24
INDHOTEL,LONG_TERM_LEADER,95,723.3,663.16,79.94,1,31
CHOLAFIN,LONG_TERM_LEADER,95,1695.1,1568.25,73.81,1,30
MAXHEALTH,LONG_TERM_LEADER,95,1086.95,1013.85,92.48,1,28
PIDILITIND,LONG_TERM_LEADER,95,1587.7,1469.92,85.33,1,20
INDIGO,LONG_TERM_LEADER,95,4977.0,4553.11,74.95,1,27
BHARTIARTL,LONG_TERM_LEADER,90,1887.1,1847.86,68.7,1,35
HAL,LONG_TERM_LEADER,90,4403.0,4303.0,60.95,1,28
AXISBANK,LONG_TERM_LEADER,90,1350.6,1299.98,69.63,1,34
EICHERMOT,LONG_TERM_LEADER,90,7584.5,7236.86,73.94,1,27
DIVISLAB,LONG_TERM_LEADER,90,6760.0,6582.74,61.65,1,32
SHRIRAMFIN,LONG_TERM_LEADER,90,1003.35,959.11,69.81,1,25
SUNPHARMA,LONG_TERM_LEADER,90,1833.8,1797.9,67.98,1,23
GRASIM,LONG_TERM_LEADER,90,3152.4,2997.55,59.08,1,30
KOTAKBANK,LONG_TERM_LEADER,90,400.0,388.09,73.99,1,37
MARICO,LONG_TERM_LEADER,90,821.55,805.38,60.18,1,23
MARUTI,LONG_TERM_LEADER,90,13424.0,13357.07,64.59,1,27
MOTHERSON,LONG_TERM_LEADER,90,144.16,134.88,53.96,1,21
INDUSINDBK,LONG_TERM_LEADER,90,942.5,902.42,61.61,1,38
TITAN,LONG_TERM_LEADER,90,4409.0,4217.96,72.5,1,35
RECLTD,LONG_TERM_LEADER,90,355.75,346.76,66.33,1,20
PNB,LONG_TERM_LEADER,90,108.41,105.77,69.76,1,22
ETERNAL,LONG_TERM_LEADER,85,258.15,249.88,58.24,1,22
TORNTPHARM,LONG_TERM_LEADER,85,4439.9,4367.06,58.59,1,36
IOC,LONG_TERM_LEADER,85,143.06,142.88,57.68,1,21
CIPLA,LONG_TERM_LEADER,80,1354.1,1350.6,41.46,1,27
JSWSTEEL,LONG_TERM_LEADER,80,1288.7,1268.42,46.45,1,36
